restaurantID,Name,Cuisine,Is Closed,Rating,Number of Reviews,Address,InsertTime
kKRzPQD6XF5Nx3pX2R8NIw,Chinelos II,Vegetable,False,3.5,75,530 W 136th St,Sat Oct 10 06:38:36 2020
S2qScUxumXnDJEPXD4UZ4Q,Texas Fried Chicken,Vegetable,False,2.0,1,2309 Adam Clayton Powell Jr Blvd,Sat Oct 10 06:38:36 2020
1KGvtMU7VBcdlvxo2brdQg,Clove Indian Restaurant & Bar,Vegetable,False,4.0,278,1592 Amsterdam Ave,Sat Oct 10 06:38:36 2020
yyoFJvOJ2ElpNl6w5DLP9g,Carnaval Smoothie and Juice Bar,Vegetable,False,4.5,21,2360 Frederick Douglass Blvd,Sat Oct 10 06:38:36 2020
B0qxEXABa8-t9sY4NQRRsQ,Fumo Pizza-Bar-Pasta,Vegetable,False,4.0,451,1600 Amsterdam Ave,Sat Oct 10 06:38:36 2020
g0Xj6-LnjP34zVpHTN9V7Q,Manna's,Vegetable,False,3.5,106,2353 Frederick Douglass Blvd,Sat Oct 10 06:38:36 2020
QkILsb4hQkveWTyHy8y2Gg,Londel's Restaurant,Vegetable,False,3.0,90,2620 Frederick Douglass Blvd,Sat Oct 10 06:38:36 2020
Rx3m7vtf-eWBSQ4AavQl8g,Jimbo's Hamburger Palace,Vegetable,False,4.0,32,1345 Amsterdam Ave,Sat Oct 10 06:38:36 2020
1uuxUq-QrUYX-Zal9TvFFQ,Charm Thai Express,Vegetable,False,4.0,72,1346 Amsterdam Ave,Sat Oct 10 06:38:36 2020
6V8FiEj1OSevz9a2xK6ClA,Columbia Deli & Grill,Vegetable,False,2.5,5,1348 Amsterdam Ave,Sat Oct 10 06:38:36 2020
kFC8xU4DfM48h3Z33NSGsQ,Key Food,Vegetable,False,2.0,8,2630 Frederick Douglass Blvd,Sat Oct 10 06:38:36 2020
6S_hNYN9n_2Z9HYh_QRmRA,Columbia University Greenmarket,Vegetable,False,4.0,15,116th St & Broadway,Sat Oct 10 06:38:38 2020
qXP0ZgR_AW_t7yBHrnvFgg,Momo Delight,Vegetable,False,4.5,10,74 st Roosevelt Ave,Sat Oct 10 06:38:38 2020
uGqSdkZseocd8MLH7Avh8A,Shake Shack,Vegetable,False,3.5,96,2957 Broadway,Sat Oct 10 06:38:38 2020
M7m84pDiJ-WJLhYNdMGNQA,Pret A Manger,Vegetable,False,3.0,32,2955 Broadway,Sat Oct 10 06:38:38 2020
w6O7NYwQw0N1f-XXenzoOw,Miracle Thai,Vegetable,False,4.0,20,Park Ave & 47 St,Sat Oct 10 06:38:38 2020
2m5gtNQnTgKchpFK6ZiOOg,Brownie's Café,Vegetable,False,4.0,40,1172 Amsterdam Ave,Sat Oct 10 06:38:38 2020
WNGagKXm8NTvX9EzLzk9og,sweetgreen,Vegetable,False,3.0,188,2937 Broadway,Sat Oct 10 06:38:38 2020
0kQ6bgQ5ZzCb4xi8JGy_bQ,Morton Williams,Vegetable,False,2.0,100,2941 Broadway,Sat Oct 10 06:38:38 2020
kvrJ60DidMfAtp2blRkKZg,Starbucks,Vegetable,False,2.5,58,2929 Broadway,Sat Oct 10 06:38:38 2020
mloTr0nez9YBSqv-WPw7Kg,Café East,Vegetable,False,3.0,27,Alfred Lerner Hall Columbia University,Sat Oct 10 06:38:38 2020
p1izzP-7YomYrP2spmOrBQ,SubsConscious,Vegetable,False,3.0,163,1213 Amsterdam Ave,Sat Oct 10 06:38:38 2020
ZBLttLnl7z-b_NRuzyRvww,Elysian Fields Cafe,Vegetable,False,4.0,72,1207 Amsterdam Ave,Sat Oct 10 06:38:38 2020
hlkCbViTRlQ5-lx8gopeoA,Apple Tree Supermarket,Vegetable,False,3.0,164,1225 Amsterdam Ave,Sat Oct 10 06:38:38 2020
C2E1E0o-ssSrf_dokwxTXg,Massawa,Vegetable,False,4.0,296,1239 Amsterdam Ave,Sat Oct 10 06:38:38 2020
7pMyF2qq9pqMfzLZEvrohA,Hamilton Deli,Vegetable,False,3.0,152,1129 Amsterdam Ave,Sat Oct 10 06:38:38 2020
wxrlMnjni_UanASIp4dq2g,Max Caffe,Vegetable,False,3.5,229,1262 Amsterdam Ave,Sat Oct 10 06:38:38 2020
hDT_KAXQgHpchcwG5_gv0Q,Wu & Nussbaum,Vegetable,False,3.5,48,2897 Broadway,Sat Oct 10 06:38:38 2020
gJg_Gh2lqrCprDzR6ZP9QQ,314 Pizza Pasta & Wine Bar,Vegetable,False,4.5,72,1260 Amsterdam Ave,Sat Oct 10 06:38:38 2020
L949I6aMoUEpaY-dr-SJNw,Dragon Sushi,Vegetable,False,4.0,14,1264 Amsterdam Ave,Sat Oct 10 06:38:38 2020
DgHEzcSBotbfxW-IJPAMuQ,Mill Korean,Vegetable,False,3.0,316,2895 Broadway,Sat Oct 10 06:38:38 2020
cGSLzPA_SCWrN3cyT86Nhw,Dun Huang - Upper West,Vegetable,False,3.5,78,1268 Amsterdam Ave,Sat Oct 10 06:38:38 2020
0Kcuy_vyfWlAetDgdmIy3g,John Jay Dining Hall,Vegetable,False,3.5,13,515 W 114th St,Sat Oct 10 06:38:38 2020
DKGUSLiqNchBNatKoPM9QQ,Junzi Kitchen,Vegetable,False,4.0,187,2896 Broadway,Sat Oct 10 06:38:38 2020
JY576sTpB3ljay2IAajZ2w,Milano Market,Vegetable,False,3.5,222,2892 Broadway,Sat Oct 10 06:38:38 2020
hD55NUiGDK7STQ8oy9QDPA,Le Monde,Vegetable,False,3.0,484,2885 Broadway,Sat Oct 10 06:38:38 2020
vZ5-JXlJS75k8wmPNS5U5w,Max Soha,Vegetable,False,4.0,406,1274 Amsterdam Ave,Sat Oct 10 06:38:38 2020
8lLs3dsSN-Am2_EtNfbXqA,Community Food & Juice,Vegetable,False,3.5,893,2893 Broadway,Sat Oct 10 06:38:38 2020
GoHiAkblJb7mqFEiD8T62g,Dig,Vegetable,False,4.0,325,2884 Broadway,Sat Oct 10 06:38:38 2020
yo_WAOnE2pPHCQduq_V_ZA,Symposium Greek Restaurant,Vegetable,False,3.5,186,544 W 113th St,Sat Oct 10 06:38:38 2020
V-rY0hlPjAghV14jOlVUiQ,Nikko,Vegetable,False,3.5,364,1280 Amsterdam Ave,Sat Oct 10 06:38:38 2020
6nOxwnuN0ZwLX3h3JYSJnA,Tom's Restaurant,Vegetable,False,2.5,767,2880 Broadway,Sat Oct 10 06:38:38 2020
51DwJDP5TOlsCQYc0GQdVQ,West Place,Vegetable,False,3.0,57,1288 Amsterdam Ave,Sat Oct 10 06:38:38 2020
K-wyXXi5lPM2cwaV9_vXcQ,Strokos Gourmet Deli,Vegetable,False,3.0,116,1090 Amsterdam Ave,Sat Oct 10 06:38:38 2020
oRF8tpn0SoXb6QP7qf0iPg,Tea Magic,Vegetable,False,3.5,210,2878 Broadway,Sat Oct 10 06:38:38 2020
IRQmUno4GQMvEDifCXO-cw,China Place,Vegetable,False,2.0,44,3141 Broadway,Sat Oct 10 06:38:38 2020
_WXa2M3gz2Mi0ys3s88nDw,La Salle Dumpling Room,Vegetable,False,4.0,254,3141 Broadway,Sat Oct 10 06:38:38 2020
RqBPYb_6-Zb4BKlDxrSElQ,Shaking Crab,Vegetable,False,3.5,327,2869 Broadway,Sat Oct 10 06:38:38 2020
wZkZmjZEJDraLJgAalnHvA,Pisticci,Vegetable,False,4.0,865,125 La Salle St,Sat Oct 10 06:38:38 2020
pIrSHmLYW6Bdjiz-HHWd1Q,Bettolona,Vegetable,False,4.0,298,3143 Broadway,Sat Oct 10 06:38:38 2020
gtVk7m6eldEfsJFD9LHRUg,Samad's Gourmet,Vegetable,False,4.0,37,2867 Broadway,Sat Oct 10 06:38:38 2020
vHzWvZYbkoHY_071J-lPRw,The Heights Bar & Grill,Vegetable,False,3.5,356,2867 Broadway,Sat Oct 10 06:38:38 2020
MW04QetT-HjxF0tYEhiG0g,Cap't Loui,Vegetable,False,4.0,196,3147 Broadway,Sat Oct 10 06:38:38 2020
n_KosOPSHS81Yq0D6X3peQ,Falafel On Broadway,Vegetable,False,4.0,215,3151 Broadway,Sat Oct 10 06:38:38 2020
yKPRuBvD3ScCc18QrZ4Y6w,El Porton,Vegetable,False,3.5,185,3151 Broadway,Sat Oct 10 06:38:38 2020
F6ReGpF94EKWzh6dSRVIrQ,Famous Famiglia Pizzeria,Vegetable,False,3.0,82,2859 Broadway,Sat Oct 10 06:38:38 2020
3N3XesISm5tg_nsjL10eFA,Chapati House,Vegetable,False,4.0,216,3153 Broadway,Sat Oct 10 06:38:38 2020
_BL1-CT06HGkiA3jcucu2Q,Panda Express,Vegetable,False,2.5,45,2852 Broadway,Sat Oct 10 06:38:38 2020
jqs_-5MxnMdwgIUqRIO1eg,Pressed Juicery,Vegetable,False,4.5,52,2857 Broadway,Sat Oct 10 06:38:38 2020
8w2Wqa649lJTVL5AfJTvRw,Starbucks,Vegetable,False,3.0,65,2853 Broadway,Sat Oct 10 06:38:38 2020
gAPKLYpgVwpbVRzCAVmRbA,The Craftsman,Vegetable,False,4.0,136,3155 Broadway,Sat Oct 10 06:38:38 2020
Lrob6V2y76p-hab8OSpxPw,The Petrie Court Café,Vegetable,False,2.5,100,1000 5th Ave,Sat Oct 10 06:38:39 2020
vAYL2UurccAGceZQNRGW1Q,The Dining Room at The Met,Vegetable,False,3.5,91,1000 Fifth Ave,Sat Oct 10 06:38:39 2020
NQmPASOub0LD9ZQyOW0mzA,The Cafeteria at The Met,Vegetable,False,2.5,63,1000 Fifth Ave,Sat Oct 10 06:38:39 2020
_NS1hEZ0LPwaTG4R6jxgnw,Cafe Sabarsky,Vegetable,False,4.0,498,1048 5th Ave,Sat Oct 10 06:38:39 2020
MQ2nzpS4FHTw_PlCcRfUpw,Nectar,Vegetable,False,3.0,151,1090 Madison Ave,Sat Oct 10 06:38:39 2020
1uQJ10U7g6Erz5yZ0l_g3w,E.A.T.,Vegetable,False,2.5,319,1064 Madison Ave,Sat Oct 10 06:38:39 2020
2kEMFJFWpAlwhcN6MHg_xw,Eli's Bread,Vegetable,False,2.5,14,1064 Madison Ave,Sat Oct 10 06:38:39 2020
dcKktiP0nHEo4BSYk_WDag,Butterfield Market,Vegetable,False,3.5,2,1150 Madison Ave,Sat Oct 10 06:38:39 2020
RyOzZ9YGJ3GlGj6PEyQmaQ,HŪSO Caviar Bar,Vegetable,False,5.0,9,1067 Madison Ave,Sat Oct 10 06:38:39 2020
eM_1VlQnWv6Q-iFSWYUy7w,Acquavella Galleries,Vegetable,False,3.5,3,18 E 79th St,Sat Oct 10 06:38:39 2020
gU6_qALmeWysg2YXMzMrtw,Serafina Fabulous Pizza,Vegetable,False,3.0,326,1022 Madison Ave,Sat Oct 10 06:38:39 2020
k1zrPPGGMQdlHopP3MnxrQ,Storico,Vegetable,False,4.0,202,170 Ctr Park W,Sat Oct 10 06:38:39 2020
VThwGCuC6JVaxAgnmuJDRg,Cilantro,Vegetable,False,3.5,430,485 Columbus Ave,Sat Oct 10 06:38:39 2020
